	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
542	BAE06005.1	ARO:3003704	mexM	mexM	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
543	BAE06006.1	ARO:3003705	mexN	mexN	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
544	BAE06007.1	ARO:3003698	mexP	mexP	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;carbapenem;tetracycline antibiotic;acridine dye;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
545	BAE06008.1	ARO:3003699	mexQ	mexQ	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;carbapenem;tetracycline antibiotic;acridine dye;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
546	BAE06009.1	ARO:3003700	opmE	opmE	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;carbapenem;tetracycline antibiotic;acridine dye;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
547	BAE15963.1	ARO:3002868	dfrG	dfrG	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
548	BAE77595.1	ARO:3003303	Escherichia coli gyrB conferring resistance to aminocoumarin	Escherichia coli gyrB conferring resistance to aminocoumarin	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
549	BAE77781.1	ARO:3000795	mdtE	mdtE	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
550	BAE77933.1	ARO:3000518	CRP	CRP	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
551	BAE78082.1	ARO:3003550	mdtP	mdtP	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic;acridine dye	antibiotic efflux
552	BAE78083.1	ARO:3003549	mdtO	mdtO	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic;acridine dye	antibiotic efflux
553	BAE78084.1	ARO:3003548	mdtN	mdtN	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic;acridine dye	antibiotic efflux
554	BAE78116.1	ARO:3003576	PmrC	PmrC	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
555	BAF80809.1	ARO:3002665	npmA	npmA	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration
556	BAF91108.1	ARO:3000847	KHM-1 beta-lactamase	KHM-1	KHM beta-latamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
557	BAG33043.1	ARO:3003920	pgpB	pgpB	lipid A phosphatase	peptide antibiotic	antibiotic target alteration
558	BAG75524.1	ARO:3003954	efmA	efmA	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic	antibiotic efflux
559	BAI83385.1	ARO:3003440	mecB	mecB	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement
560	BAJ09383.1	ARO:3003046	qacA	qacA	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
561	BAJ10053.1	ARO:3002874	FosC2	FosC2	fosC phosphotransferase family	fosfomycin	antibiotic inactivation
562	BAJ17544.1	ARO:3002069	CMY-59	CMY-59	CMY beta-lactamase	cephamycin	antibiotic inactivation
563	BAL14456.1	ARO:3000854	SMB-1 beta-lactamase	SMB-1	SMB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
564	BAL43359	ARO:3003742	mphG	mphG	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
565	BAL43360	ARO:3003745	mefC	mefC	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
566	BAL75272.1	ARO:3000856	BJP-1 beta-lactamase	BJP-1	BJP beta-lactamase	carbapenem	antibiotic inactivation
567	BAM10414.1	ARO:3003039	oprA	OprA	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;carbapenem;tetracycline antibiotic	antibiotic efflux
568	BAM38093.1	ARO:3002225	IMP-34	IMP-34	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
569	BAM46120.1	ARO:3003677	AAC(6)-Iaj	AAC(6)-Iaj	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
570	BAM76830.1	ARO:3002993	AQU-1	AQU-1	AQU beta-lactamase	cephalosporin	antibiotic inactivation
571	BAO21229.1	ARO:3003199	AAC(6)-Iak	AAC(6)-Iak	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
572	BAO79432.1	ARO:3000785	cmeC	cmeC	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
573	BAO79439.1	ARO:3002362	NDM-12	NDM-12	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
574	BAO79518.1	ARO:3003207	FosK	FosK	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
575	BAP18892.1	ARO:3003210	FosA4	FosA4	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
576	BAP28835.1	ARO:3003116	OXA-420	OXA-420	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
577	BAP34782.1	ARO:3002008	CTX-M-151	CTX-M-151	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
578	CAA01212.1	ARO:3000363	EreB	EreB	macrolide esterase	macrolide antibiotic	antibiotic inactivation
579	CAA03986.1	ARO:3000343	tap	tap	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
580	CAA11706.1	ARO:3001303	ErmO	ErmO	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
581	CAA11707.1	ARO:3000463	gimA	gimA	gimA family macrolide glycosyltransferase	macrolide antibiotic	antibiotic inactivation
582	CAA24743.1	ARO:3002655	APH(4)-Ia	APH(4)-Ia	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
583	CAA25854.1	ARO:3002659	APH(6)-Ic	APH(6)-Ic	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
584	CAA26235.1	ARO:3003061	viomycin phosphotransferase	vph	viomycin phosphotransferase	peptide antibiotic	antibiotic inactivation
585	CAA27061.1	ARO:3002648	APH(3)-IVa	APH(3)-IVa	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
586	CAA27276.1	ARO:3002661	APH(7)-Ia	APH(7)-Ia	APH(7)	aminoglycoside antibiotic	antibiotic inactivation
587	CAA29136.1	ARO:3002658	APH(6)-Ib	APH(6)-Ib	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
588	CAA30695.1	ARO:3002685	catIII	catIII	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
589	CAA33795.1	ARO:3003563	RCP-1	RCP-1	RCP beta-lactamase	penam	antibiotic inactivation
590	CAA37052.1	ARO:3002995	ROB-1	ROB-1	ROB beta-lactamase	cephalosporin;penam	antibiotic inactivation
591	CAA37477.1	ARO:3002891	otr(A)	otr(A)	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
592	CAA37605.1	ARO:3002638	APH(3)-Ia	APH(3)-Ia	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
593	CAA37699.1	ARO:3003565	r39 beta-lactamase	R39	R39 beta-lactamase	penam	antibiotic inactivation
594	CAA37806.1	ARO:3002684	catII	catII	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
595	CAA38525.1	ARO:3002535	AAC(3)-IIc	AAC(3)-IIc	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
596	CAA39038.1	ARO:3002553	AAC(6)-If	AAC(6)-If	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
597	CAA39184.1	ARO:3002536	AAC(3)-IIIa	AAC(3)-IIIa	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
598	CAA40146.1	ARO:3002997	LCR-1	LCR-1	LCR beta-lactamase	cephalosporin;penam	antibiotic inactivation
599	CAA41211.1	ARO:3001400	OXA-5	OXA-5	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
600	CAA43218.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
601	CAA44667.1	ARO:3001305	ErmU	ErmU	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
602	CAA45050.1	ARO:3002828	srmB	srmB	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
603	CAA52372.1	ARO:3002656	APH(4)-Ib	APH(4)-Ib	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
604	CAA52904.1	ARO:3002688	catS	catS	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
605	CAA55486.1	ARO:3003459	Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolone	Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolone	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic;aminocoumarin antibiotic	antibiotic target alteration
606	CAA56561.1	ARO:3003553	CepS beta-lactamase	CepS	CepS beta-lactamase	cephalosporin	antibiotic inactivation
607	CAA62365.1	ARO:3002645	APH(3)-IIb	APH(3)-IIb	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
608	CAA63498.2	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
609	CAA64891.1	ARO:3000812	mtrE	mtrE	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
610	CAA66307.2	ARO:3000592	ErmN	ErmN	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
611	CAA67349.1	ARO:3003359	Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin	Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin	elfamycin resistant EF-Tu;kirromycin self resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
612	CAA68516.1	ARO:3002657	APH(6)-Ia	APH(6)-Ia	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
613	CAA71325.1	ARO:3002156	FOX-2	FOX-2	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
614	CAA71441.1	ARO:3003095	imiS	imiS	CphA beta-lactamase	carbapenem	antibiotic inactivation
615	CAA75663.1	ARO:3000175	tet(H)	tet(H)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
616	CAA77936.1	ARO:3004039	Escherichia coli emrE	Escherichia coli emrE	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
617	CAA79727.1	ARO:3000191	tetQ	tetQ	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
618	CAA79966.1	ARO:3003665	NmcR	NmcR	NmcA beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
619	CAA79968.1	ARO:3002363	PER-1	PER-1	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
620	CAA83855.1	ARO:3000380	FosC	FosC	fosC phosphotransferase family	fosfomycin	antibiotic inactivation
621	CAA88265.1	ARO:3002898	SAT-3	SAT-3	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
622	CAA90432.1	ARO:3003026	fusH	fusH	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
623	CAA91010.1	ARO:3002559	AAC(6)-Ip	AAC(6)-Ip	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
624	CAB12062.1	ARO:3003028	lmrA	lmrA	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic target alteration;antibiotic efflux
625	CAB12108.2	ARO:3003059	tmrB	tmrB	tunicamycin resistance protein	nucleoside antibiotic	reduced permeability to antibiotic
626	CAB13166.1	ARO:3003063	ykkC	ykkC	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
627	CAB13167.1	ARO:3003064	ykkD	ykkD	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
628	CAB14620.1	ARO:3002627	aadK	aadK	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
629	CAB60001.1	ARO:3000326	ErmE	ErmE	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
630	CAB75346.1	ARO:3000582	L1 beta-lactamase	L1 beta-lactamase	L1 family beta-lactamase	cephalosporin	antibiotic inactivation
631	CAB96921.1	ARO:3000606	FEZ-1 beta-lactamase	FEZ-1	FEZ beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
632	CAC14594.1	ARO:3003055	smeD	smeD	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
633	CAC14595.1	ARO:3003056	smeE	smeE	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
634	CAC14596.1	ARO:3003057	smeF	smeF	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
635	CAC19929.1	ARO:3002854	dfrA1	dfrA1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
636	CAC29514.1	ARO:3003298	Mycobaterium leprae gyrA conferring resistance to fluoroquinolones	Mycobaterium leprae gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
637	CAC29732.1	ARO:3003389	Mycobacterium leprae folP with mutation conferring resistance to dapsone	Mycobacterium leprae folP with mutation conferring resistance to dapsone	dapsone resistant dihydropteroate synthase folP	sulfonamide antibiotic;sulfone antibiotic	antibiotic target alteration
638	CAC30845.1	ARO:3003284	Mycobacterium leprae rpoB mutations conferring resistance to rifampicin	Mycobacterium leprae rpoB mutations conferring resistance to rifampicin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
639	CAC33832.1	ARO:3000851	THIN-B beta-lactamase	THIN-B	THIN-B beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
640	CAC35728.1	ARO:3001424	OXA-29	OXA-29	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
641	CAC41008.1	ARO:3004041	Klebsiella pneumoniae acrA	Klebsiella pneumoniae acrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
642	CAC41371.2	ARO:3000196	tet32	tet32	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
643	CAC80727.1	ARO:3000476	tet(31)	tet(31)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
644	CAC81324.1	ARO:3003015	dfrA19	dfrA19	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
645	CAC84275.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
646	CAC87665.1	ARO:3000855	CAU-1 beta-lactamase	CAU-1	CAU beta-lactamase	carbapenem;penam	antibiotic inactivation
647	CAD09823.1	ARO:3003479	tetR	tetR	major facilitator superfamily (MFS) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic target alteration;antibiotic efflux
648	CAD12227.2	ARO:3000478	tet(33)	tet(33)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
649	CAD32565.1	ARO:3001770	OXA-43	OXA-43	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
650	CAD37801.1	ARO:3003793	SPM-1	SPM-1	SPM beta-lactamase	carbapenem	antibiotic inactivation
651	CAD53575.1	ARO:3002531	AAC(3)-Ic	AAC(3)-Ic	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
652	CAD55718.1	ARO:3000197	tet36	tet36	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
653	CAD58780.1	ARO:3001794	OXA-45	OXA-45	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
654	CAD61201.1	ARO:3002277	VIM-7	VIM-7	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
655	CAD91132.1	ARO:3002839	lnuF	lnuF	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
656	CAE00499.1	ARO:3003835	cdeA	cdeA	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
657	CAE48335.2	ARO:3002599	AAC(6)-30/AAC(6)-Ib fusion protein	AAC(6)-30/AAC(6)-Ib fusion protein	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
658	CAE50925.1	ARO:3002589	AAC(6)-Iid	AAC(6)-Iid	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
659	CAE50926.1	ARO:3002590	AAC(6)-Iih	AAC(6)-Iih	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
660	CAE51638.1	ARO:3002641	APH(3)-Ia	APH(3)-Ia	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
661	CAE51745.1	ARO:3000168	tet(D)	tet(D)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
662	CAE53424.1	ARO:3003016	dfrA20	dfrA20	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
663	CAG27800.1	ARO:3003203	TLA-2	TLA-2	TLA beta-lactamase	fluoroquinolone antibiotic;monobactam;cephalosporin	antibiotic inactivation
664	CAG34233.2	ARO:3003019	dfrA23	dfrA23	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
665	CAI47810.1	ARO:3003110	catB10	catB10	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
666	CAI57696.1	ARO:3002614	aadA14	aadA14	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
667	CAI99385.1	ARO:3002856	dfrA24	dfrA24	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
668	CAJ51085.1	ARO:3000319	mphC	mphC	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
669	CAJ67339.1	ARO:3000186	tetM	tetM	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
670	CAJ77855.1	ARO:3000779	adeH	adeH	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
671	CAJ77856.1	ARO:3000777	adeF	adeF	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
672	CAJ77857.1	ARO:3000778	adeG	adeG	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
673	CAK55557.1	ARO:3002585	AAC(6)-31	AAC(6)-31	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
674	CAL44992.1	ARO:3002835	lnuA	lnuA	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
675	CAL48457.1	ARO:3002857	dfrA26	dfrA26	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
676	CAL64019.1	ARO:3003441	cfrA	cfrA	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
677	CAP12359.2	ARO:3002452	OKP-B-19	OKP-B-19	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
678	CAP69659.1	ARO:3003017	dfrA21	dfrA21	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
679	CAQ03505.1	ARO:3001338	SHV-100	SHV-100	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
680	CAQ53840.1	ARO:3000853	AIM-1	AIM-1	AIM beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
681	CAX52582.1	ARO:3003324	Bacillus subtilis mprF	Bacillus subtilis mprF	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
682	CAZ48628.1	ARO:3002852	arr-7	arr-7	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
683	CBH51823.1	ARO:3000556	tet44	tet44	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
684	CBH51824.1	ARO:3002629	ANT(6)-Ib	ANT(6)-Ib	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
685	CBL58181.1	ARO:3003918	apmA	apmA	amp acetyltransferase	aminoglycoside antibiotic	antibiotic inactivation
686	CBW46935.1	ARO:3001959	CTX-M-100	CTX-M-100	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
687	CBY77552.1	ARO:3003106	Erm(42)	Erm(42)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
688	CBY88983.1	ARO:3002833	vgaE	vgaE	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
689	CCE36834	ARO:3003784	Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin	Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin	murA transferase	fosfomycin	antibiotic target alteration
690	CCE73593.2	ARO:3001503	OXA-258	OXA-258	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
691	CCF55073.1	ARO:3003205	Erm(43)	Erm(43)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
692	CCP42728.1	ARO:3003295	Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones	Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
693	CCP42991.1	ARO:3002525	AAC(2)-Ic	AAC(2)-Ic	AAC(2)	aminoglycoside antibiotic	antibiotic inactivation
694	CCP43072.1	ARO:3003448	Mycobacterium tuberculosis iniA mutant conferring resistance to Ethambutol	Mycobacterium tuberculosis iniA mutant conferring resistance to Ethambutol	Ethambutol resistant iniA	polyamine antibiotic	antibiotic target alteration;antibiotic efflux
695	CCP43073.1	ARO:3003451	Mycobacterium tuberculosis iniC mutant conferring resistance to ethambutol	Mycobacterium tuberculosis iniC mutant conferring resistance to ethambutol	Ethambutol resistant iniC	polyamine antibiotic	antibiotic target alteration;antibiotic efflux
696	CCP44023.1	ARO:3003455	Mycobacterium tuberculosis embR mutant conferring resistance to ethambutol	Mycobacterium tuberculosis embR mutant conferring resistance to ethambutol	ethambutol resistant arabinosyltransferase	polyamine antibiotic	antibiotic target alteration
697	CCP44244.1	ARO:3003393	Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid	Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid	antibiotic resistant inhA	isoniazid;triclosan	antibiotic target alteration
698	CCP44620.1	ARO:3003461	Mycobacterium tuberculosis ndh mutant conferring resistance to isoniazid	Mycobacterium tuberculosis ndh with mutation conferring resistance to isoniazid	antibiotic resistant ndh	isoniazid	antibiotic target alteration
699	CCP44758.1	ARO:3000392	Erm(37)	Erm(37)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
700	CCP44816.1	ARO:3003394	Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide	Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide	pyrazinamide resistant pncA	pyrazinamide	antibiotic target alteration
701	CCP45025.1	ARO:3003463	Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid	Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid	antibiotic resistant kasA	isoniazid;triclosan	antibiotic target alteration
702	CCP46065.1	ARO:3000816	mtrA	mtrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
703	CCP46182.1	ARO:3003035	mfpA	mfpA	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
704	CCP46624.1	ARO:3003326	Mycobacterium tuberculosis embB mutations conferring resistance to ethambutol	Mycobacterium tuberculosis embB mutations conferring resistance to ethambutol	ethambutol resistant arabinosyltransferase	polyamine antibiotic	antibiotic target alteration
705	CCP46748.1	ARO:3003470	Mycobacterium tuberculosis gidB mutation conferring resistance to streptomycin	Mycobacterium tuberculosis gidB mutation conferring resistance to streptomycin	antibiotic resistant gidB	aminoglycoside antibiotic	antibiotic target alteration
706	CCQ22388.1	ARO:3000421	norB	norB	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
707	CCW43444.1	ARO:3002255	CARB-16	CARB-16	CARB beta-lactamase	penam	antibiotic inactivation
708	CDJ72593	ARO:3003889	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	GlpT	fosfomycin	antibiotic target alteration
709	CDJ73208	ARO:3003890	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	UhpT	fosfomycin	antibiotic target alteration
710	CDO13981.1	ARO:3003585	Klebsiella mutant PhoP conferring antibiotic resistance to colistin	Klebsiella mutant PhoP conferring antibiotic resistance to colistin	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase	macrolide antibiotic;peptide antibiotic	antibiotic target alteration;antibiotic efflux
711	CDO61513.1	ARO:3003948	efrA	efrA	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;rifamycin antibiotic	antibiotic efflux
712	CDO61516.1	ARO:3003949	efrB	efrB	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;rifamycin antibiotic	antibiotic efflux
713	CUU67654.1	ARO:3003971	erm(44)	Erm(44)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
714	CWV56762.1	ARO:3000198	FosX	FosX	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
